"","Date","Stock","Values"
"152",1997-08-29,11703,-0.070232
"153",1997-09-30,11703,-0.016436
"154",1997-10-31,11703,-0.080342
"155",1997-11-28,11703,0.066474
"156",1997-12-31,11703,-0.013056
"157",1997-01-31,11762,0.004819
"158",1997-02-28,11762,0.0211
"159",1997-03-31,11762,-0.019979
"160",1997-04-30,11762,0.055877
"161",1997-05-30,11762,0.066085
"162",1997-06-30,11762,0.091128
"163",1997-07-31,11762,0.035099
"164",1997-08-29,11762,-0.006868
"165",1997-09-30,11762,0.021277
"166",1997-10-31,11762,0.046571
"167",1997-11-28,11762,-0.026539
"168",1997-12-31,11762,-0.059731
"169",1997-01-31,11790,0.0355
"170",1997-02-28,11790,-0.042362
"171",1997-03-31,11790,0.049033
"172",1997-04-30,11790,-0.080249
"173",1997-05-30,11790,0.077292
"174",1997-06-30,11790,-0.010029
"175",1997-07-31,11790,0.040286
"176",1997-08-29,11790,0.166632
"177",1997-09-30,11790,0.02685
"178",1997-10-31,11790,-0.00016
"179",1997-11-28,11790,0.006409
"180",1997-12-31,11790,-0.05582
"181",1997-01-31,11850,0.052898
"182",1997-02-28,11850,-0.028846
"183",1997-03-31,11850,0.070513
"184",1997-04-30,11850,0.046744
"185",1997-05-30,11850,0.048698
"186",1997-06-30,11850,0.030055
"187",1997-07-31,11850,0.04468
"188",1997-08-29,11850,-0.045384
"189",1997-09-30,11850,0.042587
"190",1997-10-31,11850,-0.045176
"191",1997-11-28,11850,-0.004348
"192",1997-12-31,11850,-0.001726
"193",1997-01-31,12036,0.003232
"194",1997-02-28,12036,-0.001342
"195",1997-03-31,12036,0.002537
"196",1997-04-30,12036,0.115905
"197",1997-05-30,12036,0.03163
"198",1997-06-30,12036,0.022027
"199",1997-07-31,12036,0.061717
"200",1997-08-29,12036,0.012144
"201",1997-09-30,12036,0.082873
"202",1997-10-31,12036,-0.048603
"203",1997-11-28,12036,-0.062951
"204",1997-12-31,12036,0.197216
"205",1997-01-31,12052,-0.000472
"206",1997-02-28,12052,-0.051688
"207",1997-03-31,12052,0.001276
"208",1997-04-30,12052,0.055367
"209",1997-05-30,12052,0.045977
"210",1997-06-30,12052,-0.002031
"211",1997-07-31,12052,0.181167
"212",1997-08-29,12052,-0.101558
"213",1997-09-30,12052,0.092627
"214",1997-10-31,12052,-0.070848
"215",1997-11-28,12052,0.065224
"216",1997-12-31,12052,-0.007674
"217",1997-01-31,12060,0.042276
