Date,Stock,Values
31/07/1997,11790,0.008494335
29/08/1997,11790,0.008667868
30/09/1997,11790,0.008662955
31/10/1997,11790,0.00850648
28/11/1997,11790,0.00882235
31/12/1997,11790,0.008956935
31/01/1997,11850,0.008627797
28/02/1997,11850,0.008603016
31/03/1997,11850,0.008596314
30/04/1997,11850,0.008732053
30/05/1997,11850,0.008496479
30/06/1997,11850,0.008563143
31/07/1997,11850,0.008711935
29/08/1997,11850,0.00877401
30/09/1997,11850,0.008657934
31/10/1997,11850,0.008356758
28/11/1997,11850,0.008642798
31/12/1997,11850,0.008491637
31/01/1997,12036,0.008614168
28/02/1997,12036,0.008839901
31/03/1997,12036,0.00858192
30/04/1997,12036,0.008664882
30/05/1997,12036,0.008675779
30/06/1997,12036,0.008533988
31/07/1997,12036,0.008538365
29/08/1997,12036,0.008604104
30/09/1997,12036,0.00875519
31/10/1997,12036,0.008599137
28/11/1997,12036,0.008652587
31/12/1997,12036,0.008488408
31/01/1997,12052,0.008214121
28/02/1997,12052,0.008531703
31/03/1997,12052,0.008926671
30/04/1997,12052,0.008507138
30/05/1997,12052,0.008567314
30/06/1997,12052,0.008579944
31/07/1997,12052,0.008746738
29/08/1997,12052,0.009024309
30/09/1997,12052,0.008539006
31/10/1997,12052,0.008581434
28/11/1997,12052,0.008501696
31/12/1997,12052,0.007915338
31/01/1997,12060,0.008473833
28/02/1997,12060,0.008236809
31/03/1997,12060,0.008684811
30/04/1997,12060,0.008688693
30/05/1997,12060,0.008599892
30/06/1997,12060,0.008618613
31/07/1997,12060,0.008540412
29/08/1997,12060,0.008526338
30/09/1997,12060,0.008529378
31/10/1997,12060,0.00859664
28/11/1997,12060,0.008537765
31/12/1997,12060,0.008469866
31/01/1997,12431,0.008561754
28/02/1997,12431,0.008653864
31/03/1997,12431,0.008590895
30/04/1997,12431,0.008749157
30/05/1997,12431,0.008445059
30/06/1997,12431,0.008663813
31/07/1997,12431,0.008681273
29/08/1997,12431,0.008554754
30/09/1997,12431,0.008648614
31/10/1997,12431,0.00851084
28/11/1997,12431,0.008472761
31/12/1997,12431,0.008215322
31/01/1997,12490,0.008491327
28/02/1997,12490,0.008202433
31/03/1997,12490,0.008707797
30/04/1997,12490,0.00873796
30/05/1997,12490,0.008701164
30/06/1997,12490,0.008691947
31/07/1997,12490,0.008813486
29/08/1997,12490,0.008539502
30/09/1997,12490,0.008652282
31/10/1997,12490,0.008585182
28/11/1997,12490,0.008709234
31/12/1997,12490,0.007834241
31/01/1997,12570,0.008627114
28/02/1997,12570,0.008594077
31/03/1997,12570,0.008548181
30/04/1997,12570,0.008578589
30/05/1997,12570,0.008545543
30/06/1997,12570,0.008516213
31/07/1997,12570,0.008548295
29/08/1997,12570,0.008839837
30/09/1997,12570,0.008761395
31/10/1997,12570,0.008478652
28/11/1997,12570,0.008700424
31/12/1997,12570,0.008901065
31/01/1997,12650,0.00834398
28/02/1997,12650,0.008525883
31/03/1997,12650,0.008672817
30/04/1997,12650,0.008766828
30/05/1997,12650,0.008625868
30/06/1997,12650,0.008558967
31/07/1997,12650,0.008659118
29/08/1997,12650,0.008746027
30/09/1997,12650,0.009013701
31/10/1997,12650,0.008842514
28/11/1997,12650,0.008697875
31/12/1997,12650,0.008543401
31/01/1997,12781,0.008737432
28/02/1997,12781,0.008771832
31/03/1997,12781,0.008441485
30/04/1997,12781,0.008839894
30/05/1997,12781,0.008674221
30/06/1997,12781,0.008770263
31/07/1997,12781,0.008625428
29/08/1997,12781,0.00880728
30/09/1997,12781,0.008587205
31/10/1997,12781,0.008764564
28/11/1997,12781,0.0087418
31/12/1997,12781,0.008854612
31/01/1997,13303,0.008631469
28/02/1997,13303,0.008911245
31/03/1997,13303,0.008635712
30/04/1997,13303,0.008327988
30/05/1997,13303,0.008724468
30/06/1997,13303,0.008664715
31/07/1997,13303,0.008666645
29/08/1997,13303,0.008669527
30/09/1997,13303,0.008637585
31/10/1997,13303,0.008522398
28/11/1997,13303,0.008616808
31/12/1997,13303,0.008244896
31/01/1997,13507,0.008685741
28/02/1997,13507,0.00866068
31/03/1997,13507,0.008695344
30/04/1997,13507,0.008776772
30/05/1997,13507,0.008664048
30/06/1997,13507,0.008758732
31/07/1997,13507,0.008804987
29/08/1997,13507,0.00897757
30/09/1997,13507,0.008709613
31/10/1997,13507,0.008619875
28/11/1997,13507,0.008684797
31/12/1997,13507,0.008795277
31/01/1997,13610,0.008488883
28/02/1997,13610,0.008866895
31/03/1997,13610,0.008498161
30/04/1997,13610,0.008796662
30/05/1997,13610,0.008697308
30/06/1997,13610,0.0087501
31/07/1997,13610,0.008482382
29/08/1997,13610,0.008667816
30/09/1997,13610,0.009034183
31/10/1997,13610,0.008722423
28/11/1997,13610,0.008787203
31/12/1997,13610,0.008981647
31/01/1997,13688,0.008571808
28/02/1997,13688,0.00868909
31/03/1997,13688,0.008737608
30/04/1997,13688,0.008582851
30/05/1997,13688,0.00870876
30/06/1997,13688,0.008622005
31/07/1997,13688,0.008821735
29/08/1997,13688,0.00868435
30/09/1997,13688,0.009051117
31/10/1997,13688,0.008613667
28/11/1997,13688,0.008739454
31/12/1997,13688,0.008687379
31/01/1997,13856,0.009015881
28/02/1997,13856,0.008710596
31/03/1997,13856,0.008916141
30/04/1997,13856,0.008548812
30/05/1997,13856,0.00864835
30/06/1997,13856,0.008851998
31/07/1997,13856,0.008596953
29/08/1997,13856,0.008808693
30/09/1997,13856,0.008641841
31/10/1997,13856,0.008672902
28/11/1997,13856,0.008706934
31/12/1997,13856,0.008394868
31/01/1997,13901,0.008585827
28/02/1997,13901,0.008825473
31/03/1997,13901,0.008670928
30/04/1997,13901,0.008768997
30/05/1997,13901,0.008751229
30/06/1997,13901,0.008867003
31/07/1997,13901,0.008800771
29/08/1997,13901,0.008593553
30/09/1997,13901,0.008938856
31/10/1997,13901,0.008711393
28/11/1997,13901,0.008617051
31/12/1997,13901,0.009045946
31/01/1997,13928,0.00882348
28/02/1997,13928,0.008459787
31/03/1997,13928,0.009018726
30/04/1997,13928,0.008948924
30/05/1997,13928,0.008821049
30/06/1997,13928,0.008739273
31/07/1997,13928,0.008853335
29/08/1997,13928,0.008862895
30/09/1997,13928,0.008959692
31/10/1997,13928,0.008621295
28/11/1997,13928,0.008759374
31/12/1997,13928,0.008801031
31/01/1997,13936,0.00869064
28/02/1997,13936,0.008552263
31/03/1997,13936,0.009043874
30/04/1997,13936,0.008852557
30/05/1997,13936,0.008772973
30/06/1997,13936,0.008735474
